Category: All categories

Week,Kubernetes: (Worldwide),Apache Hadoop: (Worldwide),Apache Spark: (Worldwide),Apache Druid: (Worldwide),Ansible: (Worldwide)
2015-09-27,4,60,26,<1,15
2015-10-04,4,61,29,<1,17
2015-10-11,4,62,27,<1,22
2015-10-18,5,58,26,<1,22
2015-10-25,5,61,30,<1,20
2015-11-01,5,63,29,<1,19
2015-11-08,5,53,27,<1,19
2015-11-15,5,60,30,<1,19
2015-11-22,5,53,26,<1,18
2015-11-29,4,57,29,<1,19
2015-12-06,5,58,29,<1,20
2015-12-13,5,59,30,<1,20
2015-12-20,3,46,22,<1,13
2015-12-27,3,39,19,<1,12
2016-01-03,4,51,30,<1,21
2016-01-10,5,53,31,<1,27
2016-01-17,6,55,32,<1,26
2016-01-24,4,54,32,<1,27
2016-01-31,6,60,33,<1,28
2016-02-07,5,55,33,<1,28
2016-02-14,6,60,36,<1,27
2016-02-21,7,60,35,<1,28
2016-02-28,6,63,35,<1,28
2016-03-06,6,59,37,1,27
2016-03-13,7,61,37,<1,28
2016-03-20,7,55,36,<1,26
2016-03-27,9,58,34,<1,27
2016-04-03,7,57,37,<1,27
2016-04-10,7,59,39,<1,29
2016-04-17,9,60,37,<1,30
2016-04-24,8,57,38,<1,28
2016-05-01,7,55,37,<1,26
2016-05-08,8,57,38,<1,31
2016-05-15,9,55,38,<1,28
2016-05-22,8,60,39,<1,32
2016-05-29,9,55,36,<1,31
2016-06-05,10,56,42,<1,30
2016-06-12,9,58,41,<1,33
2016-06-19,9,53,39,<1,33
2016-06-26,8,54,38,<1,30
2016-07-03,9,49,36,<1,30
2016-07-10,9,51,36,<1,29
2016-07-17,9,54,40,<1,32
2016-07-24,11,53,39,<1,32
2016-07-31,10,53,39,<1,31
2016-08-07,10,49,38,<1,28
2016-08-14,9,46,33,1,27
2016-08-21,11,55,38,<1,32
2016-08-28,11,53,37,<1,31
2016-09-04,11,49,36,<1,32
2016-09-11,13,51,38,1,32
2016-09-18,12,55,38,<1,32
2016-09-25,13,57,40,1,33
2016-10-02,14,52,35,<1,31
2016-10-09,13,52,38,1,33
2016-10-16,14,52,38,1,34
2016-10-23,15,54,44,1,35
2016-10-30,16,53,39,<1,34
2016-11-06,15,54,41,1,36
2016-11-13,18,57,44,<1,37
2016-11-20,15,51,39,<1,33
2016-11-27,15,56,45,<1,36
2016-12-04,16,54,47,<1,37
2016-12-11,17,51,45,1,37
2016-12-18,15,47,38,<1,33
2016-12-25,10,36,30,1,22
2017-01-01,14,47,38,1,32
2017-01-08,19,51,45,1,38
2017-01-15,18,54,43,<1,40
2017-01-22,17,52,42,1,39
2017-01-29,18,55,44,1,40
2017-02-05,20,59,48,1,42
2017-02-12,21,57,50,1,43
2017-02-19,21,55,49,1,42
2017-02-26,20,59,50,<1,41
2017-03-05,22,57,51,1,42
2017-03-12,21,53,52,1,45
2017-03-19,23,60,50,1,44
2017-03-26,24,58,50,1,44
2017-04-02,24,59,50,1,43
2017-04-09,25,58,51,1,42
2017-04-16,25,52,49,<1,44
2017-04-23,26,55,54,1,43
2017-04-30,22,50,50,1,36
2017-05-07,26,55,49,1,43
2017-05-14,25,56,48,<1,46
2017-05-21,25,52,53,1,43
2017-05-28,25,50,48,1,44
2017-06-04,26,54,51,1,43
2017-06-11,26,52,52,1,43
2017-06-18,27,52,51,1,47
2017-06-25,28,50,51,1,47
2017-07-02,27,50,47,1,42
2017-07-09,27,50,50,1,45
2017-07-16,30,52,53,1,46
2017-07-23,30,51,54,1,45
2017-07-30,29,51,51,1,45
2017-08-06,28,49,52,1,45
2017-08-13,30,49,49,<1,43
2017-08-20,29,49,50,1,42
2017-08-27,31,47,51,1,44
2017-09-03,30,50,49,1,45
2017-09-10,32,53,52,1,49
2017-09-17,31,51,50,1,50
2017-09-24,34,49,51,1,48
2017-10-01,30,48,47,1,49
2017-10-08,36,53,52,1,50
2017-10-15,38,49,47,1,48
2017-10-22,39,53,53,1,49
2017-10-29,39,51,51,1,48
2017-11-05,40,55,55,1,50
2017-11-12,40,51,55,1,52
2017-11-19,36,47,46,1,44
2017-11-26,42,45,51,1,48
2017-12-03,45,51,53,1,48
2017-12-10,44,50,49,1,48
2017-12-17,41,45,46,1,43
2017-12-24,26,32,32,1,26
2017-12-31,33,37,39,1,33
2018-01-07,44,46,48,1,47
2018-01-14,44,45,46,1,47
